"","pastoralists_index","farmers_index","pastoralistsPerc_index","farmersPerc_index","State","event_type","treatment","time","month_num"
"83",32.5,36,0.466787439613527,0.533212560386473,"nasarawa","naming",0,0,1
"84",NA,NA,NA,NA,"nasarawa",NA,0,0,1
"85",26.5,31,0.465384615384615,0.534615384615385,"nasarawa",NA,0,0,2
"86",45,62.5,0.418859649122807,0.581140350877193,"nasarawa","marriage",0,1,16
"87",5,94,0.0505514705882353,0.949448529411765,"benue","naming",1,0,1
"88",143.5,58.5,0.710814527416939,0.289185472583061,"benue","naming",1,0,2
"89",3,105,0.0277801594786933,0.972219840521307,"benue","wedding",1,0,2
"90",18,84,0.176470588235294,0.823529411764706,"benue","naming",1,0,3
"91",9,81,0.0990712074303406,0.900928792569659,"benue","thanksgiving",1,0,4
"92",53,23,0.697368421052632,0.302631578947368,"benue","naming",1,0,4
